Categoria,Descripcion,Cantidad
Dosis por Jurisdiccion de Residencia,Corrientes,465301 dosis
Dosis por Jurisdiccion de Residencia,Santa Cruz,104640 dosis
Dosis por Jurisdiccion de Residencia,Chubut,164412 dosis
Dosis por Jurisdiccion de Residencia,S.I.,163683 dosis
Dosis por Jurisdiccion de Residencia,Tierra del Fuego,51841 dosis
Segunda Dosis por Jurisdiccion,Buenos Aires,706623 dosis
Segunda Dosis por Jurisdiccion,Salta,83347 dosis
Segunda Dosis por Jurisdiccion,Río Negro,29753 dosis
Segunda Dosis por Jurisdiccion,Santiago del Estero,52349 dosis
Segunda Dosis por Jurisdiccion,CABA,112446 dosis
Segunda Dosis por Jurisdiccion,Córdoba,105995 dosis
Segunda Dosis por Jurisdiccion,Mendoza,100359 dosis
Segunda Dosis por Jurisdiccion,Catamarca,29795 dosis
Segunda Dosis por Jurisdiccion,Tucumán,70179 dosis
Segunda Dosis por Jurisdiccion,La Rioja,14520 dosis
Segunda Dosis por Jurisdiccion,Jujuy,60349 dosis
Segunda Dosis por Jurisdiccion,Chaco,73377 dosis
Segunda Dosis por Jurisdiccion,San Juan,33499 dosis
Segunda Dosis por Jurisdiccion,Santa Fe,111187 dosis
Segunda Dosis por Jurisdiccion,Neuquén,65407 dosis
Segunda Dosis por Jurisdiccion,Entre Ríos,64241 dosis
Segunda Dosis por Jurisdiccion,La Pampa,8602 dosis
Segunda Dosis por Jurisdiccion,Misiones,64963 dosis
Segunda Dosis por Jurisdiccion,Formosa,23339 dosis
Segunda Dosis por Jurisdiccion,San Luis,20123 dosis
Segunda Dosis por Jurisdiccion,Santa Cruz,16128 dosis
Segunda Dosis por Jurisdiccion,Corrientes,89661 dosis
Segunda Dosis por Jurisdiccion,Chubut,27058 dosis
Segunda Dosis por Jurisdiccion,S.I.,28203 dosis
Segunda Dosis por Jurisdiccion,Tierra del Fuego,5869 dosis
Dosis de Refuerzo para Mayores de 60,,0
Dosis por Condición de Aplicación,18 a 39 años SIN Factores de Riesgo,1623662 dosis
Dosis por Condición de Aplicación,40 a 49 años SIN Factores de Riesgo,569341 dosis
Dosis por Condición de Aplicación,50 a 59 años SIN Factores de Riesgo,397385 dosis
Dosis por Condición de Aplicación,SIN Factores de Riesgo,5487469 dosis
Dosis por Condición de Aplicación,18 a 59 años CON Factores de Riesgo,1753774 dosis
Dosis por Condición de Aplicación,CON Factores de Riesgo,1369823 dosis
Dosis por Condición de Aplicación,60 o más años,1070920 dosis
Dosis por Condición de Aplicación,3 a 11 años SIN Factores de Riesgo,825154 dosis
Dosis por Condición de Aplicación,Salud,379024 dosis
Dosis por Condición de Aplicación,Estratégico,362064 dosis
Dosis por Condición de Aplicación,12 a 17 años SIN Factores de Riesgo,514354 dosis
Dosis por Condición de Aplicación,Otros,219131 dosis
Dosis por Condición de Aplicación,12 a 17 años CON Factores de Riesgo,164705 dosis
Dosis por Condición de Aplicación,Viaje,8875 dosis
Dosis por Condición de Aplicación,3 a 11 años CON Factores de Riesgo,34855 dosis
Dosis por Condición de Aplicación,Embarazo,15305 dosis
Vacunas Administradas por Fecha,2022-02-01,121044 dosis
Vacunas Administradas por Fecha,2022-01-14,148860 dosis
Vacunas Administradas por Fecha,2022-01-26,119999 dosis
Vacunas Administradas por Fecha,2022-06-03,61331 dosis
Vacunas Administradas por Fecha,2023-10-10,3962 dosis
Vacunas Administradas por Fecha,2021-12-27,21462 dosis
Vacunas Administradas por Fecha,2022-02-02,111424 dosis
Vacunas Administradas por Fecha,2022-01-17,147622 dosis
Vacunas Administradas por Fecha,2022-01-27,122004 dosis
Vacunas Administradas por Fecha,2022-01-20,135330 dosis
Vacunas Administradas por Fecha,2022-02-22,72549 dosis
Vacunas Administradas por Fecha,2022-01-18,143511 dosis
Vacunas Administradas por Fecha,2022-07-07,32887 dosis
Vacunas Administradas por Fecha,2022-07-28,23441 dosis
Vacunas Administradas por Fecha,2022-04-22,42089 dosis
Vacunas Administradas por Fecha,2022-11-04,9087 dosis
Vacunas Administradas por Fecha,2022-11-12,1483 dosis
Vacunas Administradas por Fecha,2022-12-21,40963 dosis
Vacunas Administradas por Fecha,2022-12-01,26576 dosis
Vacunas Administradas por Fecha,2022-12-20,13998 dosis
Vacunas Administradas por Fecha,2022-05-20,76295 dosis
Vacunas Administradas por Fecha,2022-07-30,5605 dosis
Vacunas Administradas por Fecha,2022-04-05,27928 dosis
Vacunas Administradas por Fecha,2022-12-14,47909 dosis
Vacunas Administradas por Fecha,2022-06-01,58603 dosis
Vacunas Administradas por Fecha,2021-07-26,704 dosis
Vacunas Administradas por Fecha,2023-01-10,32188 dosis
Vacunas Administradas por Fecha,2022-12-19,36732 dosis
Vacunas Administradas por Fecha,2023-04-28,5393 dosis
Vacunas Administradas por Fecha,2022-06-06,50430 dosis
Vacunas Administradas por Fecha,2022-06-24,41051 dosis
Vacunas Administradas por Fecha,2023-01-04,41310 dosis
Vacunas Administradas por Fecha,2023-01-25,15208 dosis
Vacunas Administradas por Fecha,2023-01-31,13475 dosis
Vacunas Administradas por Fecha,2022-02-23,74437 dosis
Vacunas Administradas por Fecha,2024-01-24,5786 dosis
Vacunas Administradas por Fecha,2023-02-09,10651 dosis
Vacunas Administradas por Fecha,2023-01-18,20236 dosis
Vacunas Administradas por Fecha,2023-02-10,10828 dosis
Vacunas Administradas por Fecha,2022-06-27,23160 dosis
Vacunas Administradas por Fecha,2023-02-16,9474 dosis
Vacunas Administradas por Fecha,2022-01-06,187847 dosis
Vacunas Administradas por Fecha,2022-03-11,44346 dosis
Vacunas Administradas por Fecha,2022-01-08,93501 dosis
Vacunas Administradas por Fecha,2022-03-12,19868 dosis
Vacunas Administradas por Fecha,2022-09-13,9000 dosis
Vacunas Administradas por Fecha,2024-02-05,7603 dosis
Vacunas Administradas por Fecha,2021-11-22,1216 dosis
Vacunas Administradas por Fecha,2022-01-05,186857 dosis
Vacunas Administradas por Fecha,2022-01-07,196218 dosis
Vacunas Administradas por Fecha,2021-09-03,1949 dosis
Vacunas Administradas por Fecha,2022-03-05,19691 dosis
Vacunas Administradas por Fecha,2022-09-23,8315 dosis
Vacunas Administradas por Fecha,2021-12-21,17540 dosis
Vacunas Administradas por Fecha,2022-01-04,197079 dosis
Vacunas Administradas por Fecha,2022-06-10,54384 dosis
Vacunas Administradas por Fecha,2022-08-17,15278 dosis
Vacunas Administradas por Fecha,2022-09-27,6611 dosis
Vacunas Administradas por Fecha,2022-01-02,35445 dosis
Vacunas Administradas por Fecha,2024-03-12,2196 dosis
Vacunas Administradas por Fecha,2022-06-13,48567 dosis
Vacunas Administradas por Fecha,2022-05-28,41554 dosis
Vacunas Administradas por Fecha,2022-11-30,25311 dosis
Vacunas Administradas por Fecha,2022-12-05,36991 dosis
Vacunas Administradas por Fecha,2023-01-02,32917 dosis
Vacunas Administradas por Fecha,2023-01-16,22423 dosis
Vacunas Administradas por Fecha,2021-12-08,1670 dosis
Vacunas Administradas por Fecha,2022-12-27,49372 dosis
Vacunas Administradas por Fecha,2022-12-22,34488 dosis
Vacunas Administradas por Fecha,2023-05-04,4389 dosis
Vacunas Administradas por Fecha,2023-01-05,37865 dosis
Vacunas Administradas por Fecha,2023-01-20,17763 dosis
Vacunas Administradas por Fecha,2022-12-02,30795 dosis
Vacunas Administradas por Fecha,2022-12-29,37069 dosis
Vacunas Administradas por Fecha,2022-08-08,17607 dosis
Vacunas Administradas por Fecha,2023-05-31,2907 dosis
Vacunas Administradas por Fecha,2022-11-28,14728 dosis
Vacunas Administradas por Fecha,2022-03-28,39316 dosis
Vacunas Administradas por Fecha,2022-09-19,7896 dosis
Vacunas Administradas por Fecha,2022-06-16,54419 dosis
Vacunas Administradas por Fecha,2022-01-03,174628 dosis
Vacunas Administradas por Fecha,2022-06-20,6027 dosis
Vacunas Administradas por Fecha,2022-03-25,41350 dosis
Vacunas Administradas por Fecha,2022-03-23,43392 dosis
Vacunas Administradas por Fecha,2022-07-05,33077 dosis
Vacunas Administradas por Fecha,2022-06-14,51930 dosis
Vacunas Administradas por Fecha,2022-03-09,41112 dosis
Vacunas Administradas por Fecha,2022-06-09,50262 dosis
Vacunas Administradas por Fecha,2022-07-29,27175 dosis
Vacunas Administradas por Fecha,2022-09-10,1989 dosis
Vacunas Administradas por Fecha,2022-05-16,65811 dosis
Vacunas Administradas por Fecha,2022-01-31,127451 dosis
Vacunas Administradas por Fecha,2022-05-21,40089 dosis
Vacunas Administradas por Fecha,2022-04-07,24517 dosis
Vacunas Administradas por Fecha,2022-02-09,107821 dosis
Vacunas Administradas por Fecha,2022-04-25,42875 dosis
Vacunas Administradas por Fecha,2023-03-09,4796 dosis
Vacunas Administradas por Fecha,2022-01-10,184698 dosis
Vacunas Administradas por Fecha,2022-02-16,78592 dosis
Vacunas Administradas por Fecha,2022-05-30,73314 dosis
Vacunas Administradas por Fecha,2022-04-27,41954 dosis
Vacunas Administradas por Fecha,2022-05-10,64457 dosis
Vacunas Administradas por Fecha,2022-05-11,58603 dosis
Vacunas Administradas por Fecha,2022-05-13,72374 dosis
Vacunas Administradas por Fecha,2022-04-28,47482 dosis
Vacunas Administradas por Fecha,2022-04-04,28100 dosis
Vacunas Administradas por Fecha,2022-01-11,178746 dosis
Vacunas Administradas por Fecha,2022-01-12,177999 dosis
Vacunas Administradas por Fecha,2022-05-27,82913 dosis
Vacunas Administradas por Fecha,2023-01-11,31730 dosis
Vacunas Administradas por Fecha,2022-05-04,48056 dosis
Vacunas Administradas por Fecha,2022-05-09,56874 dosis
Vacunas Administradas por Fecha,2022-01-13,165002 dosis
Vacunas Administradas por Fecha,2022-11-18,9079 dosis
Vacunas Administradas por Fecha,2022-06-23,38091 dosis
Vacunas Administradas por Fecha,2022-03-03,44791 dosis
Vacunas Administradas por Fecha,2022-06-02,56807 dosis
Vacunas Administradas por Fecha,2023-03-14,3666 dosis
Vacunas Administradas por Fecha,2022-07-14,26860 dosis
Vacunas Administradas por Fecha,2021-12-30,38463 dosis
Vacunas Administradas por Fecha,2021-08-09,1296 dosis
Vacunas Administradas por Fecha,2022-05-29,21152 dosis
Vacunas Administradas por Fecha,2022-04-19,37376 dosis
Vacunas Administradas por Fecha,2022-12-12,47754 dosis
Vacunas Administradas por Fecha,2023-01-06,36805 dosis
Vacunas Administradas por Fecha,2022-02-14,82417 dosis
Vacunas Administradas por Fecha,2022-12-16,49339 dosis
Vacunas Administradas por Fecha,2022-02-10,96136 dosis
Vacunas Administradas por Fecha,2022-02-11,85592 dosis
Vacunas Administradas por Fecha,2022-05-23,81493 dosis
Vacunas Administradas por Fecha,2021-12-28,36214 dosis
Vacunas Administradas por Fecha,2022-04-23,15898 dosis
Vacunas Administradas por Fecha,2022-05-26,75630 dosis
Vacunas Administradas por Fecha,2023-01-17,19296 dosis
Vacunas Administradas por Fecha,2023-01-13,28894 dosis
Vacunas Administradas por Fecha,2022-01-22,61140 dosis
Vacunas Administradas por Fecha,2021-12-16,12931 dosis
Vacunas Administradas por Fecha,2022-01-24,129044 dosis
Vacunas Administradas por Fecha,2021-08-23,2216 dosis
Vacunas Administradas por Fecha,2023-03-20,3983 dosis
Vacunas Administradas por Fecha,2022-04-26,39518 dosis
Vacunas Administradas por Fecha,2022-06-29,34322 dosis
Vacunas Administradas por Fecha,2022-06-30,35268 dosis
Vacunas Administradas por Fecha,2022-03-26,18121 dosis
Vacunas Administradas por Fecha,2022-07-01,35819 dosis
Vacunas Administradas por Fecha,2024-04-29,4116 dosis
Vacunas Administradas por Fecha,2022-02-04,112988 dosis
Vacunas Administradas por Fecha,2022-12-06,45374 dosis
Vacunas Administradas por Fecha,2022-04-08,27091 dosis
Vacunas Administradas por Fecha,2022-12-07,43286 dosis
Vacunas Administradas por Fecha,2022-04-21,39378 dosis
Vacunas Administradas por Fecha,2022-05-17,76382 dosis
Vacunas Administradas por Fecha,2023-04-29,1253 dosis
Vacunas Administradas por Fecha,2022-01-19,136388 dosis
Vacunas Administradas por Fecha,2022-02-08,98015 dosis
Vacunas Administradas por Fecha,2023-01-30,12668 dosis
Vacunas Administradas por Fecha,2023-03-29,4438 dosis
Vacunas Administradas por Fecha,2023-04-03,3993 dosis
Vacunas Administradas por Fecha,2021-12-29,37272 dosis
Vacunas Administradas por Fecha,2023-03-31,4560 dosis
Vacunas Administradas por Fecha,2022-08-31,10973 dosis
Vacunas Administradas por Fecha,2022-08-25,13500 dosis
Vacunas Administradas por Fecha,2022-06-22,38923 dosis
Vacunas Administradas por Fecha,2022-08-18,15767 dosis
Vacunas Administradas por Fecha,2023-09-21,3101 dosis
Vacunas Administradas por Fecha,2022-02-24,61778 dosis
Vacunas Administradas por Fecha,2022-08-03,16732 dosis
Vacunas Administradas por Fecha,2022-03-06,18114 dosis
Vacunas Administradas por Fecha,2022-03-18,44958 dosis
Vacunas Administradas por Fecha,2022-05-02,40140 dosis
Vacunas Administradas por Fecha,2023-11-30,1542 dosis
Vacunas Administradas por Fecha,2022-02-18,77958 dosis
Vacunas Administradas por Fecha,2022-05-24,75558 dosis
Vacunas Administradas por Fecha,2023-04-14,4852 dosis
Vacunas Administradas por Fecha,2022-09-30,6641 dosis
Vacunas Administradas por Fecha,2022-06-28,35123 dosis
Vacunas Administradas por Fecha,2024-02-06,7436 dosis
Vacunas Administradas por Fecha,2023-01-03,38306 dosis
Vacunas Administradas por Fecha,2024-02-01,7177 dosis
Vacunas Administradas por Fecha,2023-08-12,319 dosis
Vacunas Administradas por Fecha,2021-12-14,10843 dosis
Vacunas Administradas por Fecha,2023-11-09,1673 dosis
Vacunas Administradas por Fecha,2022-07-22,26397 dosis
Vacunas Administradas por Fecha,2022-03-22,39803 dosis
Vacunas Administradas por Fecha,2022-07-15,24803 dosis
Vacunas Administradas por Fecha,2022-03-08,35661 dosis
Vacunas Administradas por Fecha,2022-03-07,51995 dosis
Vacunas Administradas por Fecha,2022-06-07,48357 dosis
Vacunas Administradas por Fecha,2022-07-11,27652 dosis
Vacunas Administradas por Fecha,2022-08-21,1002 dosis
Vacunas Administradas por Fecha,2022-09-21,6039 dosis
Vacunas Administradas por Fecha,2022-02-25,73499 dosis
Vacunas Administradas por Fecha,2022-08-01,17305 dosis
Vacunas Administradas por Fecha,2022-04-29,48147 dosis
Vacunas Administradas por Fecha,2022-07-18,23551 dosis
Vacunas Administradas por Fecha,2021-11-08,2219 dosis
Vacunas Administradas por Fecha,2022-03-15,44187 dosis
Vacunas Administradas por Fecha,2022-03-04,43343 dosis
Vacunas Administradas por Fecha,2022-08-29,11915 dosis
Vacunas Administradas por Fecha,2022-08-26,14062 dosis
Vacunas Administradas por Fecha,2022-07-08,32551 dosis
Vacunas Administradas por Fecha,2022-07-27,21892 dosis
Vacunas Administradas por Fecha,2023-03-28,4618 dosis
Vacunas Administradas por Fecha,2024-01-30,9555 dosis
Vacunas Administradas por Fecha,2021-08-27,2239 dosis
Vacunas Administradas por Fecha,2024-01-29,9363 dosis
Vacunas Administradas por Fecha,2022-02-21,72920 dosis
Vacunas Administradas por Fecha,2021-10-29,3143 dosis
Vacunas Administradas por Fecha,2022-01-21,131417 dosis
Vacunas Administradas por Fecha,2022-06-11,13715 dosis
Vacunas Administradas por Fecha,2022-07-26,23145 dosis
Vacunas Administradas por Fecha,2024-02-19,6207 dosis
Vacunas Administradas por Fecha,2022-11-08,9081 dosis
Vacunas Administradas por Fecha,2022-12-28,46663 dosis
Vacunas Administradas por Fecha,2022-08-05,20401 dosis
Vacunas Administradas por Fecha,2022-11-09,9731 dosis
Vacunas Administradas por Fecha,2024-04-22,3910 dosis
Vacunas Administradas por Fecha,2022-03-16,41826 dosis
Vacunas Administradas por Fecha,2022-01-23,40982 dosis
Vacunas Administradas por Fecha,2022-02-13,26760 dosis
Vacunas Administradas por Fecha,2022-03-17,40977 dosis
Vacunas Administradas por Fecha,2021-10-13,2280 dosis
Vacunas Administradas por Fecha,2021-12-07,6867 dosis
Vacunas Administradas por Fecha,2021-07-17,594 dosis
Vacunas Administradas por Fecha,2023-03-23,5060 dosis
Vacunas Administradas por Fecha,2022-08-02,17853 dosis
Vacunas Administradas por Fecha,2023-01-19,15993 dosis
Vacunas Administradas por Fecha,2022-11-11,10472 dosis
Vacunas Administradas por Fecha,2023-05-19,3029 dosis
Vacunas Administradas por Fecha,2022-05-05,56083 dosis
Vacunas Administradas por Fecha,2022-05-12,60727 dosis
Vacunas Administradas por Fecha,2022-12-26,40837 dosis
Vacunas Administradas por Fecha,2023-07-19,1651 dosis
Vacunas Administradas por Fecha,2023-02-07,10129 dosis
Vacunas Administradas por Fecha,2024-07-05,1115 dosis
Vacunas Administradas por Fecha,2023-02-24,10000 dosis
Vacunas Administradas por Fecha,2023-01-24,14767 dosis
Vacunas Administradas por Fecha,2023-02-01,12860 dosis
Vacunas Administradas por Fecha,2022-02-06,31914 dosis
Vacunas Administradas por Fecha,2022-09-09,10164 dosis
Vacunas Administradas por Fecha,2023-02-06,10284 dosis
Vacunas Administradas por Fecha,2022-10-28,4711 dosis
Vacunas Administradas por Fecha,2021-11-10,4093 dosis
Vacunas Administradas por Fecha,2022-03-01,15216 dosis
Vacunas Administradas por Fecha,2022-09-07,10542 dosis
Vacunas Administradas por Fecha,2022-06-18,9464 dosis
Vacunas Administradas por Fecha,2022-08-22,14783 dosis
Vacunas Administradas por Fecha,2024-01-09,1612 dosis
Vacunas Administradas por Fecha,2022-02-28,15459 dosis
Vacunas Administradas por Fecha,2022-03-10,39660 dosis
Vacunas Administradas por Fecha,2023-01-12,29705 dosis
Vacunas Administradas por Fecha,2022-10-14,5028 dosis
Vacunas Administradas por Fecha,2022-03-14,37113 dosis
Vacunas Administradas por Fecha,2023-07-10,1870 dosis
Vacunas Administradas por Fecha,2022-07-25,19076 dosis
Vacunas Administradas por Fecha,2024-09-16,614 dosis
Vacunas Administradas por Fecha,2022-01-25,122375 dosis
Vacunas Administradas por Fecha,2023-10-02,5902 dosis
Vacunas Administradas por Fecha,2024-03-06,4050 dosis
Vacunas Administradas por Fecha,2024-01-22,9643 dosis
Vacunas Administradas por Fecha,2022-09-12,8878 dosis
Vacunas Administradas por Fecha,2022-04-13,27193 dosis
Vacunas Administradas por Fecha,2022-05-31,69432 dosis
Vacunas Administradas por Fecha,2023-02-23,8640 dosis
Vacunas Administradas por Fecha,2022-08-19,15693 dosis
Vacunas Administradas por Fecha,2024-02-07,7027 dosis
Vacunas Administradas por Fecha,2022-01-09,57173 dosis
Vacunas Administradas por Fecha,2024-01-26,10318 dosis
Vacunas Administradas por Fecha,2023-02-02,11308 dosis
Vacunas Administradas por Fecha,2022-08-16,14988 dosis
Vacunas Administradas por Fecha,2022-06-08,50864 dosis
Vacunas Administradas por Fecha,2022-05-03,46295 dosis
Vacunas Administradas por Fecha,2022-01-15,66411 dosis
Vacunas Administradas por Fecha,2024-04-24,4959 dosis
Vacunas Administradas por Fecha,2022-11-24,10379 dosis
Vacunas Administradas por Fecha,2022-02-17,76735 dosis
Vacunas Administradas por Fecha,2022-04-01,32282 dosis
Vacunas Administradas por Fecha,2022-02-03,99394 dosis
Vacunas Administradas por Fecha,2022-05-19,72720 dosis
Vacunas Administradas por Fecha,2021-11-04,2802 dosis
Vacunas Administradas por Fecha,2022-05-06,55702 dosis
Vacunas Administradas por Fecha,2022-09-29,6457 dosis
Vacunas Administradas por Fecha,2022-10-21,5820 dosis
Vacunas Administradas por Fecha,2022-10-25,5048 dosis
Vacunas Administradas por Fecha,2022-07-04,31913 dosis
Vacunas Administradas por Fecha,2022-06-21,40896 dosis
Vacunas Administradas por Fecha,2022-07-02,9538 dosis
Vacunas Administradas por Fecha,2024-06-19,1703 dosis
Vacunas Administradas por Fecha,2024-04-18,4515 dosis
Vacunas Administradas por Fecha,2022-01-30,33562 dosis
Vacunas Administradas por Fecha,2021-08-05,1407 dosis
Vacunas Administradas por Fecha,2022-02-12,42994 dosis
Vacunas Administradas por Fecha,2024-06-11,2130 dosis
Vacunas Administradas por Fecha,2022-08-30,10987 dosis
Vacunas Administradas por Fecha,2024-03-26,3002 dosis
Vacunas Administradas por Fecha,2024-05-08,2937 dosis
Vacunas Administradas por Fecha,2023-10-23,1867 dosis
Vacunas Administradas por Fecha,2022-04-03,5184 dosis
Vacunas Administradas por Fecha,2022-02-15,77723 dosis
Vacunas Administradas por Fecha,2021-12-12,2009 dosis
Vacunas Administradas por Fecha,2024-02-14,6086 dosis
Vacunas Administradas por Fecha,2021-12-15,10960 dosis
Vacunas Administradas por Fecha,2023-08-23,1955 dosis
Vacunas Administradas por Fecha,2022-02-26,25275 dosis
Vacunas Administradas por Fecha,2022-02-07,101871 dosis
Vacunas Administradas por Fecha,2023-05-22,2559 dosis
Vacunas Administradas por Fecha,2023-03-27,4275 dosis
Vacunas Administradas por Fecha,2022-04-11,24707 dosis
Vacunas Administradas por Fecha,2021-09-04,1141 dosis
Vacunas Administradas por Fecha,2023-01-28,3234 dosis
Vacunas Administradas por Fecha,2021-11-05,3257 dosis
Vacunas Administradas por Fecha,2024-09-06,797 dosis
Vacunas Administradas por Fecha,2023-09-15,4266 dosis
Vacunas Administradas por Fecha,2022-03-19,24486 dosis
Vacunas Administradas por Fecha,2022-07-06,33069 dosis
Vacunas Administradas por Fecha,2022-12-17,9833 dosis
Vacunas Administradas por Fecha,2022-12-23,10629 dosis
Vacunas Administradas por Fecha,2023-07-05,2027 dosis
Vacunas Administradas por Fecha,2022-10-24,4753 dosis
Vacunas Administradas por Fecha,2023-09-22,3281 dosis
Vacunas Administradas por Fecha,2023-09-11,3608 dosis
Vacunas Administradas por Fecha,2022-06-15,51389 dosis
Vacunas Administradas por Fecha,2023-10-11,3664 dosis
Vacunas Administradas por Fecha,2022-04-12,25394 dosis
Vacunas Administradas por Fecha,2024-01-23,11141 dosis
Vacunas Administradas por Fecha,2024-01-19,8912 dosis
Vacunas Administradas por Fecha,2023-06-08,2486 dosis
Vacunas Administradas por Fecha,2023-05-15,3415 dosis
Vacunas Administradas por Fecha,2023-09-04,2018 dosis
Vacunas Administradas por Fecha,2024-04-15,3243 dosis
Vacunas Administradas por Fecha,2022-05-15,15128 dosis
Vacunas Administradas por Fecha,2022-04-30,16925 dosis
Vacunas Administradas por Fecha,2024-04-12,4967 dosis
Vacunas Administradas por Fecha,2023-05-20,649 dosis
Vacunas Administradas por Fecha,2022-02-19,31329 dosis
Vacunas Administradas por Fecha,2024-05-28,2348 dosis
Vacunas Administradas por Fecha,2021-09-19,351 dosis
Vacunas Administradas por Fecha,2023-02-17,9506 dosis
Vacunas Administradas por Fecha,2021-07-08,834 dosis
Vacunas Administradas por Fecha,2021-10-22,3886 dosis
Vacunas Administradas por Fecha,2022-01-29,55379 dosis
Vacunas Administradas por Fecha,2023-04-11,4389 dosis
Vacunas Administradas por Fecha,2022-05-25,13189 dosis
Vacunas Administradas por Fecha,2022-11-16,9318 dosis
Vacunas Administradas por Fecha,2023-02-15,9384 dosis
Vacunas Administradas por Fecha,2023-07-06,2163 dosis
Vacunas Administradas por Fecha,2022-03-21,42931 dosis
Vacunas Administradas por Fecha,2021-12-09,7066 dosis
Vacunas Administradas por Fecha,2024-03-05,4033 dosis
Vacunas Administradas por Fecha,2024-03-15,3488 dosis
Vacunas Administradas por Fecha,2022-12-15,47591 dosis
Vacunas Administradas por Fecha,2021-11-29,5660 dosis
Vacunas Administradas por Fecha,2022-04-14,8098 dosis
Vacunas Administradas por Fecha,2022-01-28,122610 dosis
Vacunas Administradas por Fecha,2023-11-07,1810 dosis
Vacunas Administradas por Fecha,2021-11-03,4098 dosis
Vacunas Administradas por Fecha,2021-12-13,8291 dosis
Vacunas Administradas por Fecha,2021-11-27,2943 dosis
Vacunas Administradas por Fecha,2023-07-12,1425 dosis
Vacunas Administradas por Fecha,2023-08-31,3915 dosis
Vacunas Administradas por Fecha,2023-02-13,8012 dosis
Vacunas Administradas por Fecha,2023-05-12,3708 dosis
Vacunas Administradas por Fecha,2022-12-03,6154 dosis
Vacunas Administradas por Fecha,2024-02-15,6699 dosis
Vacunas Administradas por Fecha,2021-12-23,11800 dosis
Vacunas Administradas por Fecha,2023-12-13,1246 dosis
Vacunas Administradas por Fecha,2021-11-09,3826 dosis
Vacunas Administradas por Fecha,2022-02-20,18646 dosis
Vacunas Administradas por Fecha,2021-11-20,1787 dosis
Vacunas Administradas por Fecha,2022-05-14,31735 dosis
Vacunas Administradas por Fecha,2022-12-13,45031 dosis
Vacunas Administradas por Fecha,2021-07-13,554 dosis
Vacunas Administradas por Fecha,2022-07-13,28051 dosis
Vacunas Administradas por Fecha,2022-09-24,1174 dosis
Vacunas Administradas por Fecha,2024-02-28,5044 dosis
Vacunas Administradas por Fecha,2024-07-18,1306 dosis
Vacunas Administradas por Fecha,2022-01-16,46432 dosis
Vacunas Administradas por Fecha,2022-04-16,8218 dosis
Vacunas Administradas por Fecha,2023-07-11,2042 dosis
Vacunas Administradas por Fecha,2022-12-10,9185 dosis
Vacunas Administradas por Fecha,2022-06-12,5582 dosis
Vacunas Administradas por Fecha,2024-02-16,7161 dosis
Vacunas Administradas por Fecha,2022-07-20,22628 dosis
Vacunas Administradas por Fecha,2022-08-23,14262 dosis
Vacunas Administradas por Fecha,2022-07-21,23627 dosis
Vacunas Administradas por Fecha,2022-10-12,4901 dosis
Vacunas Administradas por Fecha,2022-03-29,35070 dosis
Vacunas Administradas por Fecha,2023-03-30,4816 dosis
